<claude-code-hint v="1" type="plugin" value="vercel@claude-plugins-official" />
Retrieving project…
Fetching logs...
TIME         HOST             LEVEL                               STATUS  MESSAGE                                       
18:42:25.14  www.estaila.com  info   λ GET /                      200     (no message)                                  
18:42:24.99  www.estaila.com  info     GET /                      200     (no message)                                  
18:42:24.99  www.estaila.com  info     GET /inicio                200     (no message)                                  
18:42:24.57  www.estaila.com  error  λ GET /inicio                500     2026-05-27T22:42:24.871Z ERROR [Better Auth]:…
18:42:09.78  www.estaila.com  error  λ GET /inicio                200     2026-05-27T22:42:10.088Z ERROR [Better Auth]:…
18:42:04.27  www.estaila.com  error  λ GET /inicio                200     2026-05-27T22:42:04.445Z ERROR [Better Auth]:…
18:42:04.16  www.estaila.com  info     GET /inicio                200     (no message)                                  
18:42:04.16  www.estaila.com  info     GET /                      200     (no message)                                  
18:42:02.08  www.estaila.com  error    GET /                      500     2026-05-27T22:42:04.006Z ERROR [Better Auth]:…
18:41:59.62  www.estaila.com  info     GET /                      200     (no message)                                  
18:41:59.42  www.estaila.com  info   λ GET /                      200     (no message)                                  
18:41:59.42  www.estaila.com  info   λ GET /inicio                200     (no message)                                  
18:41:57.05  www.estaila.com  error    GET /inicio                500     2026-05-27T22:41:58.861Z ERROR [Better Auth]:…
18:41:52.22  www.estaila.com  error    GET /inicio                200     2026-05-27T22:41:53.004Z ERROR [Better Auth]:…
18:41:47.76  www.estaila.com  info   λ GET /                      200     (no message)                                  
18:41:47.00  www.estaila.com  info   λ GET /inicio                200     (no message)                                  
18:41:46.83  www.estaila.com  info     GET /inicio                200     (no message)                                  
18:41:46.83  www.estaila.com  info     GET /                      200     (no message)                                  
18:41:45.13  www.estaila.com  error    GET /admin/settings        500     2026-05-27T22:41:46.300Z ERROR [Better Auth]:…
18:41:42.79  www.estaila.com  info     GET /admin                 200     (no message)                                  
18:41:42.40  www.estaila.com  info     GET /admin/generations     200     (no message)                                  
Fetched 21 logs for bergson1296-7863s-projects/estaila on branch main
